name,argument,role,value_types
cart2pol,x,Cartesian coordinates,"scalars, vectors, matrices, multidimensional arrays"
cart2pol,y,Cartesian coordinates,"scalars, vectors, matrices, multidimensional arrays"
cart2pol,z,Cartesian coordinates,"scalars, vectors, matrices, multidimensional arrays"
cart2sph,"x,y,z",Cartesian coordinates,"scalars, vectors, matrices, multidimensional arrays"
caseInsensitivePattern,pat,Input pattern,"pattern array, string array, character vector, cell array of character vectors"
caseSensitivePattern,pat,Input pattern,"pattern array, string array, character vector, cell array of character vectors"
cast,A,Input array,"scalar, vector, matrix, multidimensional array"
cast,newclass,New class,"'single', 'double', 'int8', 'int16', 'int32', 'int64', 'uint8', 'uint16', 'uint32', 'uint64', 'logical', 'char', 'fi', 'sym'"
cast,p,Prototype,"scalar, vector, matrix, multidimensional array"
caxis,limits,New limits,vector of the form [cmin cmax]
caxis,target,Target object,"current axes, Axes object, PolarAxes object, GeographicAxes object, standalone visualization"
cd,newFolder,New folder path,"character vector, string scalar"
cdf2rdf,D,Diagonal eigenvalue matrix,matrix
cdf2rdf,V,Right eigenvector matrix,matrix
cdfepoch,x,,
cdfinfo,filename,required,"file=*.cdf, matlabpathfile=*.cdf, char"
cdflib.SetVarReservePercent,cdfId,,
cdflib.SetVarReservePercent,percent,,
cdflib.SetVarReservePercent,varNum,,
cdflib.close,cdfId,,
cdflib.closeVar,cdfId,,
cdflib.closeVar,varNum,,
cdflib.computeEpoch,timeval,,
cdflib.computeEpoch16,timeval,,
cdflib.create,filename,,
cdflib.createAttr,attrName,,
cdflib.createAttr,cdfId,,
cdflib.createAttr,scope,,
cdflib.createVar,cdfId,,
cdflib.createVar,datatype,,
cdflib.createVar,dimVariance,,
cdflib.createVar,dims,,
cdflib.createVar,numElements,,
cdflib.createVar,recVariance,,
cdflib.createVar,varname,,
cdflib.delete,cdfId,,
cdflib.deleteAttr,attrNum,,
